Title,Description
Explaining Mainframe Pricing,"In these days of hybrid cloud working with some applications working best in a cloud environment and some that work best on the mainframe, there’s going to come a time when mainframers and cloud people are going to be sitting in the same room and the way comp…"
Ask HN: Examples of desktop software with 20+ years of longevity?,Comments
Una automatización del 45% de la oficina y 300 millones de empleos: qué dicen los estudios sobre ChatGPT y el trabajo,"El informático británico Geoffrey Hinton, pionero en el desarrollo de la Inteligencia Artificial, comunicó recientemente su decisión de abandonar su puesto de trabajo en Google para advertir más libremente acerca de los peligros de esta tecnología. En este se…"
Laid-off 60-year-old Kyndryl exec says he was told IT giant wanted 'new blood',"As spinoff quietly erases claim that average age in mainframe group was 35
An age discrimination claim filed on behalf of a former Kyndryl global software director against IBM and its spinoff has been amended to include similar allegations from a business dev…"
The Stanford Pascal Compiler,Comments
10 Jahre Abschied vom berüchtigten A20-Gate in Intel-CPUs,"Im Juni 2013 erschien Intels Core i-4000 alias Haswell. Es war Intel erste CPU ohne A20-Gate, welches viele Programmierer jahrzehntelang nervte."
"Working from home could kill career advancement, so says the CEO of IBM","Could be worse: You could be working for Big Blue
IBM CEO, Arvind Krishna, isn't telling his employees that they have to return to the office, but he did warn that continuing to work remotely could mean being passed over for promotion or career advancement. …"
On the trail of the Dark Avenger: the most dangerous virus writer in the world,"Bulgaria in the 1980s became known as the ‘virus factory’, where hundreds of malicious computer programs were unleashed to wreak havoc. But who was writing them, and why?In the 1980s, there was no better place than Bulgaria for virus lovers. The socialist cou…"
"Take a look inside a $14 million penthouse in San Francisco's tallest residential building, which was sinking and tilting for years before it was fixed",San Francisco's Millennium Tower was sinking and tilting for years before construction began to address the building's structural issues.
IBM plans to give $100M and Google $50M for quantum computing research to the University of Chicago and the University of Tokyo ahead of the G7 summit (Peter Landers/Wall Street Journal),"Peter Landers / Wall Street Journal:
IBM plans to give $100M and Google $50M for quantum computing research to the University of Chicago and the University of Tokyo ahead of the G7 summit  —  Deal to be announced at Hiroshima G-7 summit seeks to preserve Amer…"
Computer Archeology: The Little Tikes/IBM PC #PC #Computer #Education @IBM @LittleTikes,"Yes, this is real. Apparently Little Tikes, known for their kid oriented plastics, teamed up with IBM themselves to come up with a computer learning center. For “only $2,599”, it came with an IBM Think Centre computer, a colorful keyboard and education softwa…"
Podcast Besser Wissen: Als BTX kam und wieder ging,"Ein Seitenaufruf kostete bis zu 10 Mark und die Post hatte das Monopol auf Geräte - die Gründe für das Scheitern von BTX besprechen wir in unserem Podcast. (Besser Wissen, IBM)"
IBMはAIを採用する代わりに、新規雇用や人材は削減していく方針,Image:Laborant（Shutterstock）けっこうな仕事がAIで済んじゃうらしく…。いまChatGPTなど、AIの話題がホットです。危機感すら覚えている人は少なくないようでして、最大の心配事はAIに職を奪われるのでは？でしょう。すでに米国では、かなりの規模で現実の脅威となっているみたいですよ。IBMは採用方針を大幅変更このほどBloombergは、IBMのArvindKrishnaC
UN-Agentur: Gesellschaften auf Job-Transformation durch KI vorbereiten,"Werden KI-Tools wie ChatGPT den Arbeitsmarkt umwälzen? Länder sollten sich besser für die Herausforderung wappnen, rät der Chef der UN-Entwicklungsagentur."
IBM will Quantencomputer mit 100.000 Qubits bauen,„Quantenzentriertes Supercomputing“ nennt IBM als Ziel seiner 100 Millionen US-Dollar schweren Initiative zum Bau eines neuen Rekord-Quantencomputers. Das System soll über 100.000 Qubits verfügen. Zum Vergleich: Das aktuelle IBM-Gerät hat 433 Qubits. Anfang N…
"The Download: IBM’s quantum ambitions, and tasting lab-grown burgers","This is today’s edition of The Download, our weekday newsletter that provides a daily dose of what’s going on in the world of technology. IBM wants to build a 100,000-qubit quantum computer What’s happening: Last year, IBM took the record for the largest quan…"
The AI PR Industrial Complex,"Forget the technology’s capabilities, there’s money to be made and points to score."
IBM presenta Watsonx: la nueva plataforma de IA para empresas,"IBM, una de las empresas líderes en tecnología, anunció recientemente el lanzamiento de su nueva plataforma de datos e inteligencia artificial llamada Watsonx. Esta herramienta tiene como objetivo principal ayudar a las empresas a integrar la inteligencia art…"
2008年から病欠を続けているIBM従業員、昇給がないのは障害者差別だと訴える,"headless 曰く、IBM 従業員として 2008 年から病欠を続けている英国の男性が障害者差別で IBM を訴えたそうだ
(Yahoo! Finance の記事、
Neowin の記事)。

男性は 2000 年に Lotus Development へ入社し、買収に伴って IBM 従業員となった。病欠が 5 年目の 2013 年には昇給も有給休暇もないと苦情を申し立て、同社の障害者プランを適用することで合意に達する。

このプランでは働くことのできなくなった従業員が解雇されることはなく、回復または定年、死…"
La inteligencia artificial llega a sistemas de autoservicio como McAuto: pronto podría atenderte un chatbot,"Los trends de TikTok donde las personas hacen bromas a quien atiende en el McAuto podrían estar en peligro de extinción. Después de todo, la inteligencia artificial estilo ChatGPT ya ha comenzado a tomar puestos de trabajo, y un reciente reporte del The Wall …"
Superconducting ‘fluxonium’ is the longest lasting qubit ever,"A fluxonium qubit can keep its most useful quantum properties for about 1.48 milliseconds, drastically longer than similar qubits currently favoured by the quantum computing industry"
IBM、新AIデータプラットフォーム「watsonx」,米IBMは、新たなAIとデータプラットフォームである「IBM watsonx(ワトソンエックス)」を発表した。2023年7月から順次提供を開始する。
IBM Resurrects Watson to Ride the AI Hype Train,IBM is talking about artificial intelligence again.
Will AI free us from drudgery – or leave us jobless and hungry? | Arwa Mahdawi,"Artificial intelligence promises more leisure and creativity for workers. But at the same time, corporations are clamping down on unions and making plans to replace their expensive human employeesGoodbye humans, hello “Tessa”. The US-based National Eating Dis…"
M.U.L.E. 40th Anniversary Special,Comments
OpenText CEO: Micro Focus buy is an enteprise portfolio play,"Climbing the software stack, new owner sees IBM and ServiceNow as rivals
Interview It is nearly three years since Micro Focus recorded a $1bn plus loss, owing to COVID-19 disruption and the fall-out from the $8.8bn acquisition of HP Software in 2017. None of …"
"CEOs see ChatGPT as an 'Ozempic' miracle drug that can cut costs and boost efficiency. Right now, they're wrong.",ChatGPT and the weight-loss drug Ozempic have been seen as quick-fixes. Both come with side effects.
heise+ | Von Docker Desktop zu Podman: Umstieg leicht gemacht,Dockers neue Lizenzpolitik und Verbesserungen der Konkurrenz machen die Open-Source-Alternative Podman immer attraktiver. Der Wechsel geht verblüffend einfach.
"10 Things in Tech: Androids v. iPhones in ‘Succession,’ AI tools besides ChatGPT, and a check signed by Steve Jobs","In today's edition: Androids v. iPhones in 'Succession,' AI tools besides ChatGPT, and more headlines."
"10 Things in Tech: Best side hustles, Tesla Roadsters, and ChatGPT stylist","In today's edition: Brand-new Tesla Roadsters for sale, ChatGPT as a personal stylist, and more headlines."
Superconducting qubits have passed a key quantum test,A Bell test can confirm whether two systems are truly entangled – it has now been used to confirm entanglement between qubits in a superconducting circuits
42 cursos gratis de inteligencia artificial para aprender a usarla y sacarle el máximo partido,"Te traemos una recopilación con 42 cursos sobre Inteligencia Artificial, para que aprendas lo necesario para conocerla en profundidad. Todos estos cursos son totalmente gratuitos, aunque en algunos casos tendrás opción de pagar por obtener un certificado una …"
IT worker on sick leave for 15 years sues over no pay rise,Ian Clifford claimed he was the victim of disability discrimination by IBM despite having his income guaranteed until his retirement age
Why Kyndryl Holdings Stock Crashed 10% Today,There may be a reason IBM decided to spin off Kyndryl stock.
В России захотели ограничить параллельный импорт вычислительной техники,"Минпромторг совместно с российскими производителями вычислительной техники рассматривает возможность ограничения параллельного импорта в Россию продукции более 20 зарубежных брендов, в том числе включая Acer, IBM, Dell и других. Замглавы Минпромторга Василий …"
Get ready for next week’s new Macs with $250 off the Apple Studio Display,"Macworld







Apple’s Studio Display isn’t just a gorgeous monitor—it also has features you won’t find on other monitors, including spatial audio, Center Stage, and a built-in USB-C hub. It’s also much more expensive than other displays but today’s sale de…"
100.000 puestos menos en medio año: qué hay detrás de la ola de despidos masivos que sacude a Europa,"El pasado mes de enero, el FMI confirmó que la mayoría de los países evitarían la recesión este 2023, anunciando, eso sí, una disminución del crecimiento económico mundial. Sin embargo, hay sectores que no están atravesando su mejor momento. Un ejemplo es la …"
Build Better AI For Enterprise And Hybrid Cloud With IBM’s WatsonX,"AI is hot and IBM put it front and center, along with its hybrid cloud strategy, at its yearly IBM Think conference. 

IBM announced its AI development platform, called watsonx.ai, for hybrid cloud applications."
Best Dividend Stock to Buy: AT&T vs. IBM,Each of these dividend stocks could provide investors with excellent passive income.
Better High-Yield Dividend Stock: IBM or Medical Properties Trust?,Income investors can find a lot to like with both of these stocks.
Mike Rowe's warning to white collar workers 'The robots are coming' for your job,'How America Works' host Mike Rowe unpacks how A.I. developments could impact jobs and offers a message to workers in light of white-collar recession fears.
Ni LinkedIn se salva de los recortes: anuncia el despido de más de 700 empleados y el cierre de su aplicación para China,"Nos estamos acercando a la mitad de este año y la oleada de despidos masivos entre las tecnológicas que empezó en 2022 parece no haber terminado. Casi todas las semanas nos llegan noticias de compañías conocidas anunciando recortes de personal. En abril, segú…"
Why is there no open source firmware for laser or inkjet printers? (2019),"Unlike routers, e.g. OpenWRT, there doesn't seem to be any effort to replace closed source printer firmware with open source code. And as recent articles have shown, there are serious vulnerabilities in some closed source printer firmware. e.g. the whole ""fax…"
